InstanceType,ap-northeast-1a,ap-northeast-1c,ap-northeast-1d
a1.2xlarge,True,False,True
a1.4xlarge,True,False,True
a1.large,True,False,True
a1.medium,True,False,True
a1.metal,True,False,True
a1.xlarge,True,False,True
c1.medium,True,True,False
c1.xlarge,True,True,False
c3.2xlarge,True,True,False
c3.4xlarge,True,True,False
c3.8xlarge,True,True,False
c3.large,True,True,False
c3.xlarge,True,True,False
c4.2xlarge,True,True,True
c4.4xlarge,True,True,True
c4.8xlarge,True,True,True
c4.large,True,True,True
c4.xlarge,True,True,True
c5.12xlarge,True,True,True
c5.18xlarge,True,True,True
c5.24xlarge,True,True,True
c5.2xlarge,True,True,True
c5.4xlarge,True,True,True
c5.9xlarge,True,True,True
c5.large,True,True,True
c5.metal,True,True,True
c5.xlarge,True,True,True
c5a.12xlarge,True,True,False
c5a.16xlarge,True,True,False
c5a.24xlarge,True,True,False
c5a.2xlarge,True,True,False
c5a.4xlarge,True,True,False
c5a.8xlarge,True,True,False
c5a.large,True,True,False
c5a.xlarge,True,True,False
c5d.12xlarge,True,True,True
c5d.18xlarge,True,True,True
c5d.24xlarge,True,True,True
c5d.2xlarge,True,True,True
c5d.4xlarge,True,True,True
c5d.9xlarge,True,True,True
c5d.large,True,True,True
c5d.metal,True,True,True
c5d.xlarge,True,True,True
c5n.18xlarge,True,True,True
c5n.2xlarge,True,True,True
c5n.4xlarge,True,True,True
c5n.9xlarge,True,True,True
c5n.large,True,True,True
c5n.metal,True,True,True
c5n.xlarge,True,True,True
c6a.12xlarge,True,True,True
c6a.16xlarge,True,True,True
c6a.24xlarge,True,True,True
c6a.2xlarge,True,True,True
c6a.32xlarge,True,True,True
c6a.48xlarge,True,True,True
c6a.4xlarge,True,True,True
c6a.8xlarge,True,True,True
c6a.large,True,True,True
c6a.metal,True,True,True
c6a.xlarge,True,True,True
c6g.12xlarge,True,True,True
c6g.16xlarge,True,True,True
c6g.2xlarge,True,True,True
c6g.4xlarge,True,True,True
c6g.8xlarge,True,True,True
c6g.large,True,True,True
c6g.medium,True,True,True
c6g.metal,True,True,True
c6g.xlarge,True,True,True
c6gd.12xlarge,True,True,True
c6gd.16xlarge,True,True,True
c6gd.2xlarge,True,True,True
c6gd.4xlarge,True,True,True
c6gd.8xlarge,True,True,True
c6gd.large,True,True,True
c6gd.medium,True,True,True
c6gd.metal,True,True,True
c6gd.xlarge,True,True,True
c6gn.12xlarge,True,True,True
c6gn.16xlarge,True,True,True
c6gn.2xlarge,True,True,True
c6gn.4xlarge,True,True,True
c6gn.8xlarge,True,True,True
c6gn.large,True,True,True
c6gn.medium,True,True,True
c6gn.xlarge,True,True,True
c6i.12xlarge,True,True,True
c6i.16xlarge,True,True,True
c6i.24xlarge,True,True,True
c6i.2xlarge,True,True,True
c6i.32xlarge,True,True,True
c6i.4xlarge,True,True,True
